"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11065","NATHBI","EQ","NATH BIO GENES INDIA LIMITED",0.01,1,"","",0,10,"INE448G01010",264.31,142.99,585,20,"","","",0,0,0,186.58,124.39,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NATHBIOGEN"
"11072","AGRITE","EQ","AGRI-TECH (INDIA) LIMITED",0.01,1,"","",0,10,"INE449G01018",309.15,124.04,309.15,4.05,"","","",0,0,0,170.65,113.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AGRITECH"
"11079","GRAFOU","BE","GRAND FOUNDRY LTD",0.01,1,"","",0,4,"INE534A01028",9.5,6.9,63,0.65,"","","",0,0,0,8.12,7.71,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GFSTEELS"
"11082","LIBDES","EQ","LIBAS CONSUMER PRODUCTS LTD",0.01,1,"","",0,10,"INE908V01012",22.25,11.7,70.67,9.85,"","","",0,0,0,15.72,10.48,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LIBAS"
"1110","DANDUM","EQ","DANGEE DUMS LIMITED",0.01,1,"","",0,1,"INE688Y01022",12.35,4.82,32.45,4.73,"","","",0,0,0,6.09,4.06,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DANGEE"
"11111","BAJPLA","EQ","WOPOLIN PLASTICS LIMITED",0.01,1,"","",0,10,"INE986C01018",0,0,45.75,0.7,"","","",0,0,0,3.45,2.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WOPOLIN"
"11140","SUMWOO","EQ","SUMIT WOODS LIMITED",0.01,1,"","",0,10,"INE748Z01013",157.75,50.3,157.75,7.45,"","","",0,0,0,89.15,80.66,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SUMIT"
"11149","SHRLIM","EQ","SHRENIK LIMITED",0.01,1,"","",0,1,"INE632X01030",1.45,0.62,37.67,0.62,"","","",0,0,0,0.73,0.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHRENIK"
"11154","SGBT29","GB","2.50% SOV. GOLD BOND 16 JUL 27",0.01,1,"","",0,1000,"IN0020190081",0,0,8708.78,3100,"","","",0,0,0,9453.93,7735.04,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBJUL27"
"11155","CREPER","EQ","CREATIVE NEWTECH LIMITED",0.01,1,"","",0,10,"INE985W01018",1075,601.1,1075,37.88,"","","",0,0,0,841.35,560.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CREATIVE"
"11162","HARENG","EQ","HARSHA ENGINEERS INT LTD",0.01,1,"","",0,10,"INE0JUS01029",613.85,360.1,613.85,309,"","","",0,0,0,490.6,327.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HARSHA"
"11169","COFDAY","BE","COFFEE DAY ENTERPRISES LTD",0.01,1,"","",0,10,"INE335K01011",74.65,21.28,374.9,14.25,"","","",0,0,0,33.05,29.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","COFFEEDAY"
"11174","LIBRE1","BE","LIBAS CON PRODUCT LTD-RE",0.01,1,"","",0,10,"INE908V20012",2.7,1.2,2.7,1.2,"","","",0,0,0,2.1,0.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LIBAS-RE"
"11184","IDFBAN","EQ","IDFC FIRST BANK LIMITED",0.01,1,"","",0,10,"INE092T01019",86.1,56.36,100.7,17.65,"","","",0,0,0,63.54,51.99,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IDFCFIRSTB"
"11192","SGBT61","GB","2.50% SOV. GOLD BOND 30 AUG 30",0.01,1,"","",0,5197,"IN0020220078",0,0,8945,4801,"","","",0,0,0,9387.84,7680.96,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBAUG30"
"11193","AXISIL","EQ","AXIS SILVER ETF",0.01,1,"","",0,10,"INF846K011K1",103.18,72.41,103.18,54.03,"","","",0,0,0,116.3,77.53,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AXISILVER"
"11195","INTAVI","EQ","INTERGLOBE AVIATION LIMITED",0.01,1,"","",0,10,"INE646L01027",5035,3020,5035,691,"","","",0,0,0,5238.6,4286.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIGO"
"11198","ANNSWA","SM","ANNAPURNA SWADISHT LIMITED",0.01,1,"","",0,10,"INE0MGM01017",0,0,494.9,109.3,"","","",0,0,0,333.4,222.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ANNAPURNA"
"11208","KANDIG","SM","KANDARP DIGI SMART BPO LIMITED",0.01,1,"","",0,10,"INE0MOT01016",0,0,72,13.8,"","","",0,0,0,78.6,71.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KANDARP"
"1121","GERREM","EQ","GERMAN REMEDIES LTD",0.01,1,"","",0,10,"INE382A01014",0,0,1387.5,113,"","","",0,0,0,583.8,389.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GERMANREM"
